Event Name,# Attending,#Spaces
BSC24: Conwy parkrun (Sat),18,7
BSC24: Yr Wyddfa (Snowdon) via Rhyd Ddu Path (Sat),12,0
BSC24: Moel Siabod Hike (Sat),18,0
BSC24: Elidir Fawr & Y Garn Mountain Walk (Sat),15,0
"BSC24: Industry, Mythology & Ice Cream Walk (Sat)",30,0
BSC24: Llyn Crafnant Walk (Sat),15,5
"BSC24: Cycling Along the North Wales coast, Bangor and the Las Ogwen Cycleway (Sat)",10,2
BSC24: Conwy Mountain (Sat),30,0
BSC24: Betws-y-Coed to Llyn Elsi Hike (Sat),30,0
BSC24: Afternoon Walk to Betws-y-Coed (Sat),30,0
BSC24: Conwy Castle (Sat),24,1
Last Updated: 2024-05-25 21:42:16
